#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD8DE7
#Date Time: 2020-06-09 19:00:13.200
#Sample rate: 33189.5Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 400 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 2.15 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 2.15 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.03437833,0.1445950702888348
-0.03434820000000001,0.1562575277626543
-0.03431807000000001,0.1625885761055848
-0.03428794,0.163921428388307
-0.03425781,0.1599228715401404
-0.03422768,0.1509261186317654
-0.03419755000000001,0.136931169663182
-0.03416742,0.118937663846432
-0.03413729,0.09761202732287647
-0.03410716,0.07295426009251535
-0.03407703000000001,0.04663042750875145
-0.0340469,0.01897374264226533
-0.03401677,-0.00801651608285968
-0.03398664,-0.03434034866662358
-0.03395651000000001,-0.05866490282630414
-0.03392638000000001,-0.08032375242054027
-0.03389625,-0.09798404516660972
-0.03386612,-0.1116457810645125
-0.03383599,-0.1206425339728875
-0.03380586000000001,-0.1246410908210542
-0.03377573,-0.1216421731849291
-0.0337456,-0.1129786333472347
-0.03371547,-0.09931689744933192
-0.03368534000000001,-0.08165660470326247
-0.03365521,-0.05966454203834581
-0.03362508,-0.03500677480798469
-0.03359495,-0.008349729153540236
-0.03356482000000001,0.019973381854307
-0.03353469000000001,0.04796327979147367
-0.03350456,0.07561996465795978
-0.03347443,0.1019437972417237
-0.0334443,0.1256019252600431
-0.03341417000000001,0.1455947095008765
-0.03338404,0.1625885761055848
-0.03335391,0.1749174597207654
-0.03332378,0.181914934205057
-0.03329365000000001,0.1832477864877793
-0.03326352,0.1795824427102931
-0.03323339,0.1709189028725987
-0.03320326,0.1572571669746959
-0.03317313000000001,0.1395968742286265
-0.03314300000000001,0.1179380246343903
-0.03311287,0.09328025740402923
-0.03308274,0.06695642482026534
-0.03305261,0.03863331381241811
-0.03302248000000001,0.01031020280457088
-0.03299235,-0.01668005592055413
-0.03296222,-0.04233746236295691
-0.03293209,-0.06499595116923471
-0.03290196000000001,-0.08465552233938747
-0.03287183,-0.09965011052001249
-0.0328417,-0.1099797157111097
-0.03281157,-0.1153111248419986
-0.03278144000000001,-0.1153111248419986
-0.03275131000000001,-0.1103129287817903
-0.03272118,-0.09998332359069304
-0.03269105,-0.08532194848074859
-0.03266092000000001,-0.06632880345195691
-0.03263079000000001,-0.04400352771635969
-0.03260066,-0.01901254741531802
-0.03257053,0.007644498239126434
-0.0325404,0.034967970034932
-0.03251027000000001,0.06195822876005701
-0.03248014,0.0876156352024598
-0.03245001,0.1116069762914598
-0.03241988,0.1325993997443348
-0.03238975000000001,0.1492600532783626
-0.03235962000000001,0.1619221499642237
-0.03232949,0.1695860505898765
-0.03229936,0.1725849682260015
-0.03226923000000001,0.1692528375191959
-0.03223910000000001,0.1619221499642237
-0.03220897,0.1495932663490431
-0.03217884,0.1329326128150154
-0.03214871,0.1126066155035015
-0.03211858000000001,0.08894848748518203
-0.03208845,0.06262465490141811
-0.03205832,0.03430154389357089
-0.03202819,0.005978432885723656
-0.03199806000000001,-0.02134503891008191
-0.03196793000000001,-0.04666923228180414
-0.0319378,-0.06932772108808191
-0.03190767,-0.08898729225823471
-0.03187754000000001,-0.1043150935095403
-0.03184741000000001,-0.1153111248419986
-0.03181728,-0.1213089601142486
-0.03178715,-0.1219753862556097
-0.03175702,-0.1169771901954014
-0.03172689000000001,-0.1073140111456653
-0.03169676,-0.09331906217708194
-0.03166663,-0.07499234328965138
-0.0316365,-0.0530002806247347
-0.03160637000000001,-0.02867572646505413
-0.03157624000000001,-0.002351893881290235
-0.03154611,0.02463836484383477
-0.03151598,0.05162862356895978
-0.03148585000000001,0.07695281694068201
-0.03145572000000001,0.1006109449590015
-0.03142559,0.1212701553411959
-0.03139546,0.1382640219459043
-0.03136533,0.1512593317024459
-0.03133520000000001,0.1595896584694598
-0.03130507,0.1629217891762654
-0.03127494,0.1599228715401404
-0.03124481,0.1515925447731265
-0.03121468000000001,0.1389304480872653
-0.03118455000000001,0.1222697945532376
-0.03115442,0.1019437972417237
-0.03112429,0.07828566922340424
-0.03109416000000001,0.052961475851682
-0.03106403000000001,0.02563800405587644
-0.0310339,-0.002018680810609679
-0.03100377,-0.02900893953573469
-0.03097364,-0.05499955904881803
-0.03094351000000001,-0.07865768706713749
-0.03091338,-0.09931689744933192
-0.03088325,-0.1163107640540403
-0.03085312,-0.1286396476692208
-0.03082299000000001,-0.1359703352241931
-0.03079286000000001,-0.1386360397896375
-0.03076273,-0.1356371221535125
-0.0307326,-0.1279732215278597
-0.03070247000000001,-0.1149779117713181
-0.03067234000000001,-0.09798404516660972
-0.03064221,-0.07699162171373469
-0.03061208,-0.0530002806247347
-0.03058195,-0.02700966111165135
-0.03055182000000001,-0.0003526154572069012
-0.03052169,0.02730406940927922
-0.03049156,0.05362790199304312
-0.03046143,0.07861888229408479
-0.03043130000000001,0.1006109449590015
-0.03040117000000001,0.118937663846432
-0.03037104,0.1332658258856959
-0.03034091,0.1425957918647515
-0.03031078000000001,0.1475939879249598
-0.03028065000000001,0.1469275617835987
-0.03025052,0.1412629395820292
-0.03022039,0.130933334390932
-0.03019026,0.1152723200689459
-0.03016013000000001,0.09594596196947369
-0.03013,0.07295426009251535
-0.03009987,0.04729685365011256
-0.03006974,0.02030659492498755
-0.03003961000000001,-0.007683303012179125
-0.03000948000000001,-0.03467356173730413
-0.02997935,-0.06099739432106803
-0.02994922,-0.08532194848074859
-0.02991909000000001,-0.1063143719336236
-0.02988896000000001,-0.1236414516090125
-0.02985883,-0.1363035482948736
-0.0298287,-0.1443006619912069
-0.02979857,-0.1469663665566514
-0.02976844000000001,-0.1446338750618875
-0.02973831,-0.1373031875069153
-0.02970818,-0.1249743038917347
-0.02967805,-0.1083136503577069
-0.02964792000000001,-0.08765443997551248
-0.02961779,-0.06399631195719302
-0.02958766,-0.03800569244410969
-0.02955753,-0.01068222064830413
